% Pose logfile
% 1 	Time (sec)
% 2,3 	X, Y position (m)
% 4 	Heading in radians (m)
% 5 	Tilt angle, if calculated (rad)
1770822677.7661 0.037 0.128 1.3115 -3.0420
1770822677.7710 0.037 0.128 1.3115 -3.0415
1770822677.7766 0.037 0.128 1.3115 -3.0411
1770822677.7813 0.037 0.128 1.3115 -3.0407
1770822677.7862 0.037 0.128 1.3115 -3.0404
1770822677.7909 0.037 0.128 1.3115 -3.0400
1770822677.7966 0.037 0.128 1.3115 -3.0397
1770822677.8017 0.037 0.128 1.3115 -3.0393
1770822677.8062 0.037 0.128 1.3115 -3.0390
1770822677.8114 0.037 0.128 1.3115 -3.0386
1770822677.8160 0.037 0.128 1.3115 -3.0383
1770822677.8218 0.037 0.128 1.3115 -3.0378
1770822677.8267 0.037 0.128 1.3115 -3.0375
1770822677.8312 0.037 0.128 1.3115 -3.0370
1770822677.8361 0.037 0.128 1.3115 -3.0367
1770822677.8410 0.037 0.128 1.3115 -3.0362
1770822677.8466 0.037 0.128 1.3115 -3.0358
1770822677.8516 0.037 0.128 1.3115 -3.0354
1770822677.8562 0.037 0.128 1.3115 -3.0350
1770822677.8612 0.037 0.128 1.3115 -3.0345
1770822677.8669 0.037 0.128 1.3115 -3.0342
1770822677.8717 0.037 0.128 1.3115 -3.0338
1770822677.8767 0.037 0.128 1.3115 -3.0335
1770822677.8812 0.037 0.128 1.3115 -3.0330
1770822677.8860 0.037 0.128 1.3115 -3.0327
1770822677.8910 0.037 0.128 1.3115 -3.0323
1770822677.8963 0.037 0.128 1.3115 -3.0319
1770822677.9013 0.037 0.128 1.3115 -3.0315
1770822677.9065 0.037 0.128 1.3115 -3.0312
1770822677.9119 0.037 0.128 1.3115 -3.0306
1770822677.9167 0.037 0.128 1.3115 -3.0303
1770822677.9212 0.037 0.128 1.3115 -3.0298
1770822677.9269 0.037 0.128 1.3115 -3.0295
1770822677.9314 0.037 0.128 1.3115 -3.0290
1770822677.9362 0.037 0.128 1.3115 -3.0286
1770822677.9415 0.037 0.128 1.3115 -3.0281
1770822677.9465 0.037 0.128 1.3115 -3.0277
1770822677.9516 0.037 0.128 1.3115 -3.0271
1770822677.9569 0.037 0.128 1.3115 -3.0266
1770822677.9611 0.037 0.128 1.3115 -3.0259
1770822677.9670 0.037 0.128 1.3115 -3.0254
1770822677.9714 0.037 0.128 1.3115 -3.0246
1770822677.9767 0.037 0.128 1.3115 -3.0240
1770822677.9810 0.037 0.128 1.3115 -3.0230
1770822677.9861 0.037 0.128 1.3115 -3.0222
1770822677.9911 0.037 0.128 1.3115 -3.0210
1770822677.9963 0.037 0.128 1.3115 -3.0201
1770822678.0010 0.037 0.128 1.3115 -3.0186
1770822678.0062 0.037 0.128 1.3115 -3.0175
1770822678.0116 0.037 0.128 1.3115 -3.0157
1770822678.0160 0.037 0.128 1.3115 -3.0143
1770822678.0218 0.037 0.128 1.3115 -3.0122
1770822678.0261 0.037 0.128 1.3115 -3.0109
1770822678.0312 0.037 0.128 1.3115 -3.0089
1770822678.0361 0.037 0.128 1.3115 -3.0075
1770822678.0410 0.037 0.128 1.3115 -3.0055
1770822678.0467 0.037 0.128 1.3115 -3.0040
1770822678.0516 0.037 0.128 1.3115 -3.0018
1770822678.0565 0.037 0.128 1.3115 -3.0003
1770822678.0618 0.037 0.128 1.3115 -2.9980
1770822678.0669 0.037 0.128 1.3115 -2.9964
1770822678.0720 0.037 0.128 1.3115 -2.9939
1770822678.0768 0.037 0.128 1.3115 -2.9922
1770822678.0818 0.037 0.128 1.3130 -2.9895
1770822678.0866 0.037 0.128 1.3130 -2.9875
1770822678.0918 0.037 0.128 1.3130 -2.9842
1770822678.0965 0.037 0.128 1.3130 -2.9820
1770822678.1011 0.037 0.128 1.3130 -2.9787
1770822678.1062 0.037 0.128 1.3130 -2.9765
1770822678.1118 0.037 0.128 1.3130 -2.9728
1770822678.1166 0.037 0.128 1.3130 -2.9703
1770822678.1219 0.037 0.128 1.3130 -2.9663
1770822678.1268 0.037 0.128 1.3130 -2.9636
1770822678.1318 0.037 0.128 1.3130 -2.9596
1770822678.1361 0.037 0.128 1.3130 -2.9570
1770822678.1410 0.037 0.128 1.3130 -2.9530
1770822678.1461 0.037 0.128 1.3130 -2.9503
1770822678.1514 0.037 0.128 1.3130 -2.9463
1770822678.1562 0.037 0.128 1.3130 -2.9437
1770822678.1620 0.037 0.128 1.3130 -2.9398
1770822678.1665 0.037 0.128 1.3130 -2.9373
1770822678.1716 0.037 0.128 1.3130 -2.9339
1770822678.1767 0.037 0.128 1.3130 -2.9317
1770822678.1822 0.037 0.128 1.3130 -2.9286
1770822678.1863 0.037 0.128 1.3130 -2.9265
1770822678.1913 0.037 0.128 1.3130 -2.9236
1770822678.1969 0.037 0.128 1.3130 -2.9217
1770822678.2011 0.037 0.128 1.3130 -2.9190
1770822678.2064 0.037 0.128 1.3130 -2.9172
1770822678.2110 0.037 0.128 1.3130 -2.9146
1770822678.2169 0.037 0.128 1.3130 -2.9130
1770822678.2213 0.037 0.128 1.3130 -2.9106
1770822678.2269 0.037 0.128 1.3130 -2.9091
1770822678.2311 0.037 0.128 1.3130 -2.9069
1770822678.2364 0.037 0.128 1.3130 -2.9056
1770822678.2418 0.037 0.128 1.3130 -2.9037
1770822678.2467 0.037 0.128 1.3130 -2.9026
1770822678.2520 0.037 0.128 1.3130 -2.9009
1770822678.2563 0.037 0.128 1.3130 -2.8999
1770822678.2614 0.037 0.128 1.3130 -2.8986
1770822678.2667 0.037 0.128 1.3130 -2.8979
1770822678.2711 0.037 0.128 1.3130 -2.8970
1770822678.2761 0.037 0.128 1.3130 -2.8965
1770822678.2819 0.037 0.128 1.3130 -2.8959
1770822678.2864 0.037 0.128 1.3130 -2.8956
1770822678.2921 0.037 0.128 1.3130 -2.8953
1770822678.2969 0.037 0.128 1.3130 -2.8953
1770822678.3015 0.037 0.128 1.3130 -2.8953
1770822678.3068 0.037 0.128 1.3130 -2.8955
1770822678.3114 0.000 0.000 0.0000 -2.8957
1770822678.3163 0.000 0.000 0.0000 -2.8961
1770822678.3216 0.000 0.000 0.0000 -2.8965
1770822678.3267 0.000 0.000 0.0000 -2.8973
1770822678.3321 0.000 0.000 0.0000 -2.8980
1770822678.3376 0.000 0.000 0.0000 -2.8991
1770822678.3422 0.000 0.000 0.0000 -2.8998
1770822678.3476 0.000 0.000 0.0000 -2.9011
1770822678.3521 0.000 0.000 0.0000 -2.9020
1770822678.3577 0.000 0.000 0.0000 -2.9034
1770822678.3623 0.000 0.000 0.0000 -2.9044
1770822678.3672 0.000 0.000 0.0000 -2.9060
1770822678.3719 0.000 0.000 0.0000 -2.9072
1770822678.3773 0.000 0.000 0.0000 -2.9089
1770822678.3823 0.000 0.000 0.0000 -2.9100
1770822678.3876 0.000 0.000 0.0000 -2.9117
1770822678.3922 0.000 0.000 0.0000 -2.9129
1770822678.3971 0.000 0.000 0.0000 -2.9146
1770822678.4021 0.000 0.000 0.0000 -2.9158
1770822678.4078 0.000 0.000 0.0000 -2.9174
1770822678.4119 0.000 0.000 0.0000 -2.9185
1770822678.4169 0.000 0.000 0.0000 -2.9202
1770822678.4225 0.000 0.000 0.0000 -2.9212
1770822678.4277 0.000 0.000 0.0000 -2.9228
1770822678.4330 0.000 0.000 0.0000 -2.9239
1770822678.4374 0.000 0.000 0.0000 -2.9256
1770822678.4425 0.000 0.000 0.0000 -2.9267
1770822678.4470 0.000 0.000 0.0000 -2.9283
1770822678.4521 0.000 0.000 0.0000 -2.9294
1770822678.4572 0.000 0.000 0.0000 -2.9309
1770822678.4628 0.000 0.000 0.0000 -2.9320
1770822678.4673 0.000 0.000 0.0000 -2.9335
1770822678.4733 0.000 0.000 0.0000 -2.9344
1770822678.4778 0.000 0.000 0.0000 -2.9358
1770822678.4819 0.000 0.000 0.0000 -2.9367
1770822678.4870 0.000 0.000 0.0000 -2.9380
1770822678.4921 0.000 0.000 0.0000 -2.9388
1770822678.4978 0.000 0.000 0.0000 -2.9399
1770822678.5029 0.000 0.000 0.0000 -2.9407
1770822678.5079 0.000 0.000 0.0000 -2.9417
1770822678.5122 0.000 0.000 0.0000 -2.9424
1770822678.5181 0.000 0.000 0.0000 -2.9433
1770822678.5224 0.000 0.000 0.0000 -2.9440
1770822678.5274 0.000 0.000 0.0000 -2.9449
1770822678.5323 0.000 0.000 0.0000 -2.9456
1770822678.5375 0.000 0.000 0.0000 -2.9464
1770822678.5428 0.000 0.000 0.0000 -2.9471
1770822678.5476 0.000 0.000 0.0000 -2.9479
1770822678.5529 0.000 0.000 0.0000 -2.9485
1770822678.5570 0.000 0.000 0.0000 -2.9493
1770822678.5623 0.000 0.000 0.0012 -2.9499
1770822678.5678 0.001 0.000 0.0023 -2.9501
1770822678.5721 0.001 0.000 0.0023 -2.9503
1770822678.5783 0.002 0.000 0.0046 -2.9513
1770822678.5823 0.002 0.000 0.0058 -2.9522
1770822678.5876 0.003 0.000 0.0058 -2.9543
1770822678.5932 0.003 0.000 0.0058 -2.9561
1770822678.5981 0.004 0.000 0.0046 -2.9584
1770822678.6020 0.005 0.000 0.0035 -2.9600
1770822678.6070 0.005 0.000 0.0035 -2.9624
1770822678.6122 0.006 0.000 0.0023 -2.9643
1770822678.6175 0.006 0.000 0.0023 -2.9675
1770822678.6226 0.007 0.000 0.0023 -2.9702
1770822678.6279 0.008 0.000 0.0035 -2.9745
1770822678.6330 0.008 0.000 0.0035 -2.9776
1770822678.6380 0.009 0.000 0.0035 -2.9824
1770822678.6422 0.010 0.000 0.0046 -2.9857
1770822678.6481 0.011 0.000 0.0035 -2.9897
1770822678.6525 0.012 0.000 0.0035 -2.9915
1770822678.6573 0.013 0.000 0.0023 -2.9925
1770822678.6625 0.014 0.000 0.0023 -2.9917
1770822678.6680 0.014 0.000 0.0023 -2.9900
1770822678.6732 0.015 0.000 0.0023 -2.9888
1770822678.6771 0.015 0.000 0.0012 -2.9868
1770822678.6822 0.016 0.000 0.0012 -2.9853
1770822678.6874 0.017 0.000 -0.0000 -2.9831
1770822678.6924 0.018 0.000 -0.0000 -2.9818
1770822678.6979 0.019 0.000 -0.0000 -2.9788
1770822678.7021 0.020 0.000 -0.0000 -2.9772
1770822678.7071 0.022 0.000 -0.0012 -2.9753
1770822678.7124 0.023 0.000 -0.0000 -2.9743
1770822678.7171 0.024 0.000 -0.0000 -2.9726
1770822678.7229 0.025 0.000 -0.0000 -2.9716
1770822678.7271 0.027 0.000 -0.0000 -2.9700
1770822678.7331 0.028 0.000 -0.0012 -2.9689
1770822678.7375 0.029 0.000 -0.0023 -2.9675
1770822678.7423 0.030 0.000 -0.0012 -2.9671
1770822678.7480 0.031 0.000 -0.0023 -2.9671
1770822678.7532 0.032 0.000 -0.0023 -2.9674
1770822678.7582 0.034 0.000 -0.0035 -2.9682
1770822678.7627 0.035 0.000 -0.0035 -2.9687
1770822678.7677 0.036 0.000 -0.0046 -2.9696
1770822678.7727 0.037 0.000 -0.0046 -2.9703
1770822678.7778 0.039 0.000 -0.0046 -2.9716
1770822678.7826 0.040 0.000 -0.0046 -2.9726
1770822678.7879 0.041 0.000 -0.0046 -2.9745
1770822678.7932 0.042 0.000 -0.0035 -2.9760
1770822678.7976 0.043 0.000 -0.0046 -2.9785
1770822678.8051 0.044 0.000 -0.0035 -2.9802
1770822678.8071 0.046 -0.000 -0.0035 -2.9824
1770822678.8125 0.047 -0.000 -0.0035 -2.9834
1770822678.8175 0.048 -0.000 -0.0035 -2.9844
1770822678.8227 0.049 -0.000 -0.0035 -2.9849
1770822678.8275 0.051 -0.000 -0.0023 -2.9852
1770822678.8323 0.052 -0.000 -0.0023 -2.9856
1770822678.8379 0.053 -0.000 -0.0023 -2.9868
1770822678.8421 0.054 -0.000 -0.0023 -2.9879
1770822678.8472 0.056 -0.000 -0.0023 -2.9896
1770822678.8521 0.057 -0.000 -0.0023 -2.9909
1770822678.8575 0.058 -0.000 -0.0023 -2.9929
1770822678.8626 0.059 -0.000 -0.0012 -2.9943
1770822678.8671 0.061 -0.000 -0.0012 -2.9965
1770822678.8723 0.062 -0.000 -0.0000 -2.9982
1770822678.8782 0.063 -0.000 -0.0012 -3.0010
1770822678.8823 0.064 -0.000 -0.0000 -3.0029
1770822678.8879 0.066 -0.000 -0.0000 -3.0055
1770822678.8923 0.066 -0.000 -0.0000 -3.0069
1770822678.8976 0.068 -0.000 -0.0000 -3.0090
1770822678.9026 0.069 -0.000 -0.0000 -3.0106
1770822678.9076 0.071 -0.000 0.0012 -3.0137
1770822678.9129 0.072 -0.000 0.0023 -3.0161
1770822678.9179 0.073 -0.000 0.0023 -3.0202
1770822678.9223 0.075 -0.000 0.0035 -3.0243
1770822678.9274 0.076 -0.000 0.0035 -3.0270
1770822678.9327 0.077 -0.000 0.0058 -3.0313
1770822678.9377 0.078 -0.000 0.0058 -3.0343
1770822678.9427 0.080 -0.000 0.0081 -3.0389
1770822678.9477 0.081 0.000 0.0093 -3.0419
1770822678.9532 0.082 0.000 0.0104 -3.0463
1770822678.9578 0.083 0.000 0.0104 -3.0489
1770822678.9625 0.085 0.000 0.0127 -3.0526
1770822678.9673 0.086 0.000 0.0127 -3.0548
1770822678.9727 0.088 0.000 0.0139 -3.0577
1770822678.9785 0.089 0.000 0.0150 -3.0592
1770822678.9830 0.090 0.000 0.0150 -3.0611
1770822678.9895 0.091 0.000 0.0150 -3.0623
1770822678.9925 0.093 0.000 0.0150 -3.0634
1770822678.9985 0.094 0.000 0.0150 -3.0638
1770822679.0032 0.096 0.000 0.0150 -3.0642
1770822679.0079 0.097 0.000 0.0150 -3.0645
1770822679.0128 0.098 0.000 0.0162 -3.0641
1770822679.0180 0.099 0.000 0.0162 -3.0638
1770822679.0233 0.101 0.000 0.0162 -3.0628
