% BCM GPIO found OK
% Starting
Started 2026-02-03 18:00:12.501377
% Failed to connect to localhost on 1883
% Won't work without MQTT connection, terminate!
% Main Terminated
% BCM GPIO found OK
% Starting
Started 2026-02-04 12:43:04.119539
% At 2026-02-04 12:43:04.119539: sending: 'robobot/cmd/ti' with 'alive 2026-02-04 12:43:04.119539' len(param)=32, not master False, master False
% At 2026-02-04 12:43:04.119539: sending: 'robobot/cmd/ti' with 'log 1' len(param)=5, not master False, master False
% GPIO setup start
% GPIO setup finished
% Connected to MQTT Broker localhost on 1883
% ConnectedOut to MQTT Broker localhost on 1883
% Robot (srobot.py) data stream OK; 4 loops.
% IR sensor (sir.py):: got data stream; 0 loops.
% At 2026-02-04 12:43:04.119539: sending: 'robobot/cmd/T0' with 'enc0' len(param)=4, not master False, master False
% At 2026-02-04 12:43:04.119539: sending: 'robobot/cmd/T0' with 'confw 0.074 0.074 19 92 0.23' len(param)=28, not master False, master False
% At 2026-02-04 12:43:04.119539: sending: 'robobot/cmd/T0' with 'confi' len(param)=5, not master False, master False
% Pose:: configured, and got data stream; 1 loops.
% IMU (simu.py):: got data stream; 0 loops.
% At 2026-02-04 12:43:04.119539: sending: 'robobot/cmd/ti' with 'alive 2026-02-04 12:43:04.119539' len(param)=32, not master False, master False
% At 2026-02-04 12:43:04.119539: sending: 'robobot/cmd/ti' with 'alive 2026-02-04 12:43:04.119539' len(param)=32, not master False, master False
% At 2026-02-04 12:43:04.119539: sending: 'robobot/cmd/ti' with 'alive 2026-02-04 12:43:04.119539' len(param)=32, not master False, master False
% At 2026-02-04 12:43:04.119539: sending: 'robobot/cmd/ti' with 'alive 2026-02-04 12:43:04.119539' len(param)=32, not master False, master False
% At 2026-02-04 12:43:04.119539: sending: 'robobot/cmd/ti' with 'alive 2026-02-04 12:43:04.119539' len(param)=32, not master False, master False
% At 2026-02-04 12:43:04.119539: sending: 'robobot/cmd/ti' with 'alive 2026-02-04 12:43:04.119539' len(param)=32, not master False, master False
% SCam:: Camera failed to open
% Edge (sedge.py):: turns on line sensor
% At 2026-02-04 12:43:04.119539: sending: 'robobot/cmd/T0' with 'lip 1' len(param)=5, not master False, master False
% At 2026-02-04 12:43:04.119539: sending: 'robobot/cmd/T0' with 'sub livn 10' len(param)=11, not master False, master False
% At 2026-02-04 12:43:04.119539: sending: 'robobot/cmd/T0' with 'liwi' len(param)=4, not master False, master False
% At 2026-02-04 12:43:04.119539: sending: 'robobot/cmd/T0' with 'liwi' len(param)=4, not master False, master False
% At 2026-02-04 12:43:04.119539: sending: 'robobot/cmd/T0' with 'liwi' len(param)=4, not master False, master False
% At 2026-02-04 12:43:04.119539: sending: 'robobot/cmd/T0' with 'liwi' len(param)=4, not master False, master False
% At 2026-02-04 12:43:04.119539: sending: 'robobot/cmd/T0' with 'liwi' len(param)=4, not master False, master False
% At 2026-02-04 12:43:04.119539: sending: 'robobot/cmd/T0' with 'liwi' len(param)=4, not master False, master False
% At 2026-02-04 12:43:04.119539: sending: 'robobot/cmd/T0' with 'liwi' len(param)=4, not master False, master False
% At 2026-02-04 12:43:04.119539: sending: 'robobot/cmd/T0' with 'liwi' len(param)=4, not master False, master False
% At 2026-02-04 12:43:04.119539: sending: 'robobot/cmd/T0' with 'liwi' len(param)=4, not master False, master False
% At 2026-02-04 12:43:04.119539: sending: 'robobot/cmd/T0' with 'liwi' len(param)=4, not master False, master False
% At 2026-02-04 12:43:04.119539: sending: 'robobot/cmd/T0' with 'liwi' len(param)=4, not master False, master False
% At 2026-02-04 12:43:04.119539: sending: 'robobot/cmd/T0' with 'liwi' len(param)=4, not master False, master False
% At 2026-02-04 12:43:04.119539: sending: 'robobot/cmd/T0' with 'liwi' len(param)=4, not master False, master False
% At 2026-02-04 12:43:04.119539: sending: 'robobot/cmd/T0' with 'liwi' len(param)=4, not master False, master False
% At 2026-02-04 12:43:04.119539: sending: 'robobot/cmd/T0' with 'liwi' len(param)=4, not master False, master False
% At 2026-02-04 12:43:04.119539: sending: 'robobot/cmd/T0' with 'liwi' len(param)=4, not master False, master False
% At 2026-02-04 12:43:04.119539: sending: 'robobot/cmd/T0' with 'liwi' len(param)=4, not master False, master False
% At 2026-02-04 12:43:04.119539: sending: 'robobot/cmd/T0' with 'liwi' len(param)=4, not master False, master False
% At 2026-02-04 12:43:04.119539: sending: 'robobot/cmd/T0' with 'liwi' len(param)=4, not master False, master False
% At 2026-02-04 12:43:04.119539: sending: 'robobot/cmd/ti' with 'alive 2026-02-04 12:43:04.119539' len(param)=32, not master False, master False
% At 2026-02-04 12:43:04.119539: sending: 'robobot/cmd/T0' with 'liwi' len(param)=4, not master False, master False
% At 2026-02-04 12:43:04.119539: sending: 'robobot/cmd/T0' with 'liwi' len(param)=4, not master False, master False
% At 2026-02-04 12:43:04.119539: sending: 'robobot/cmd/T0' with 'liwi' len(param)=4, not master False, master False
% At 2026-02-04 12:43:04.119539: sending: 'robobot/cmd/T0' with 'liwi' len(param)=4, not master False, master False
% At 2026-02-04 12:43:04.119539: sending: 'robobot/cmd/T0' with 'liwi' len(param)=4, not master False, master False
% At 2026-02-04 12:43:04.119539: sending: 'robobot/cmd/T0' with 'liwi' len(param)=4, not master False, master False
% At 2026-02-04 12:43:04.119539: sending: 'robobot/cmd/T0' with 'liwi' len(param)=4, not master False, master False
% At 2026-02-04 12:43:04.119539: sending: 'robobot/cmd/T0' with 'liwi' len(param)=4, not master False, master False
% At 2026-02-04 12:43:04.119539: sending: 'robobot/cmd/T0' with 'liwi' len(param)=4, not master False, master False
% At 2026-02-04 12:43:04.119539: sending: 'robobot/cmd/T0' with 'liwi' len(param)=4, not master False, master False
% At 2026-02-04 12:43:04.119539: sending: 'robobot/cmd/T0' with 'liwi' len(param)=4, not master False, master False
% At 2026-02-04 12:43:04.119539: sending: 'robobot/cmd/T0' with 'liwi' len(param)=4, not master False, master False
% Edge (sedge.py):: got no data after 31 (continues edge_n_wUpdCnt=0, edgeUpdCnt=75, edge_nUpdCnt=375)
% (uservice.py) Setup finished with connected=True
% At 2026-02-04 12:43:04.119539: sending: 'robobot/cmd/T0' with 'leds 16 30 30 0' len(param)=15, not master False, master False
% Starting at state 0
% Starting
% At 2026-02-04 12:43:04.119539: sending: 'robobot/cmd/T0' with 'leds 16 0 0 30' len(param)=14, not master False, master False
% At 2026-02-04 12:43:04.119539: sending: 'robobot/cmd/ti' with 'rc 0.25 0.0' len(param)=11, not master False, master False
% At 2026-02-04 12:43:04.119539: sending: 'robobot/cmd/T0' with 'servo 1 100 300' len(param)=15, not master False, master False
% State change from -1 to 12
% At 2026-02-04 12:43:04.119539: sending: 'robobot/cmd/ti' with 'alive 2026-02-04 12:43:04.119539' len(param)=32, not master False, master False
