  #1 → pos: (373, 96), radius: 11.0, circularity: 0.72
  Winner → center: (458, 329), radius: 32.3, circularity: 0.70
  #5 → pos: (363, 9), radius: 24.7, circularity: 0.67
  Winner → center: (320, 213), radius: 16.0, circularity: 0.78
  #4 → pos: (264, 10), radius: 26.6, circularity: 0.46
  Winner → center: (221, 233), radius: 18.9, circularity: 0.79
  #5 → pos: (356, 6), radius: 26.9, circularity: 0.49
  Winner → center: (292, 268), radius: 24.4, circularity: 0.68
  #5 → pos: (330, 8), radius: 21.5, circularity: 0.51
  Winner → center: (268, 314), radius: 31.6, circularity: 0.66
  #6 → pos: (349, 7), radius: 16.3, circularity: 0.66
  Winner → center: (275, 397), radius: 46.2, circularity: 0.49
  #5 → pos: (250, 65), radius: 12.0, circularity: 0.77
  Winner → center: (582, 425), radius: 33.0, circularity: 0.73
  #4 → pos: (254, 71), radius: 18.2, circularity: 0.52
  Winner → center: (370, 291), radius: 34.0, circularity: 0.85
  #2 → pos: (114, 95), radius: 31.1, circularity: 0.53
  Winner → center: (172, 288), radius: 29.2, circularity: 0.74
  #2 → pos: (224, 65), radius: 18.6, circularity: 0.48
  Winner → center: (325, 378), radius: 44.3, circularity: 0.88
  #6 → pos: (103, 38), radius: 13.1, circularity: 0.63
  Winner → center: (280, 313), radius: 28.5, circularity: 0.89
  #5 → pos: (233, 20), radius: 18.1, circularity: 0.68
  Winner → center: (390, 376), radius: 41.2, circularity: 0.90
  #7 → pos: (230, 37), radius: 13.9, circularity: 0.74
  Winner → center: (375, 437), radius: 40.6, circularity: 0.56
  #4 → pos: (33, 41), radius: 18.2, circularity: 0.66
  Winner → center: (299, 353), radius: 41.5, circularity: 0.86
