% Pose logfile
% 1 	Time (sec)
% 2,3 	X, Y position (m)
% 4 	Heading in radians (m)
% 5 	Tilt angle, if calculated (rad)
1770997178.6219 0.000 0.000 0.0000 -2.9544
1770997178.6277 0.000 0.000 0.0000 -2.9544
1770997178.6318 0.000 0.000 0.0000 -2.9544
1770997178.6372 0.000 0.000 0.0000 -2.9544
1770997178.6422 0.000 0.000 0.0000 -2.9543
1770997178.6474 0.000 0.000 0.0000 -2.9543
1770997178.6521 0.000 0.000 0.0000 -2.9542
1770997178.6575 0.000 0.000 0.0000 -2.9542
1770997178.6619 0.000 0.000 0.0000 -2.9542
1770997178.6678 0.000 0.000 0.0000 -2.9542
1770997178.6728 0.000 0.000 0.0000 -2.9542
1770997178.6770 0.000 0.000 0.0000 -2.9542
1770997178.6825 0.000 0.000 0.0000 -2.9542
1770997178.6871 0.000 0.000 0.0000 -2.9542
1770997178.6931 0.000 0.000 0.0000 -2.9543
1770997178.6981 0.000 0.000 0.0000 -2.9543
1770997178.7023 0.000 0.000 0.0000 -2.9543
1770997178.7082 0.000 0.000 0.0000 -2.9543
1770997178.7124 0.000 0.000 0.0000 -2.9544
1770997178.7173 0.000 0.000 0.0000 -2.9544
1770997178.7228 0.000 0.000 0.0000 -2.9543
1770997178.7282 0.000 0.000 0.0000 -2.9543
1770997178.7328 0.000 0.000 0.0000 -2.9543
1770997178.7381 0.000 0.000 0.0000 -2.9543
1770997178.7430 0.000 0.000 0.0000 -2.9543
1770997178.7480 0.000 0.000 0.0000 -2.9543
1770997178.7530 0.000 0.000 0.0000 -2.9543
1770997178.7585 0.000 0.000 0.0000 -2.9542
1770997178.7628 0.000 0.000 0.0000 -2.9542
1770997178.7679 0.000 0.000 0.0000 -2.9542
1770997178.7725 0.000 0.000 0.0000 -2.9542
1770997178.7775 0.000 0.000 0.0000 -2.9542
1770997178.7828 0.000 0.000 0.0000 -2.9542
1770997178.7879 0.000 0.000 0.0000 -2.9542
1770997178.7928 0.000 0.000 0.0000 -2.9542
1770997178.7987 0.000 0.000 0.0000 -2.9542
1770997178.8024 0.000 0.000 0.0000 -2.9542
1770997178.8075 0.000 0.000 0.0000 -2.9542
1770997178.8129 0.000 0.000 0.0000 -2.9542
1770997178.8182 0.000 0.000 0.0000 -2.9542
1770997178.8228 0.000 0.000 0.0000 -2.9542
1770997178.8280 0.000 0.000 0.0000 -2.9542
1770997178.8330 0.000 0.000 0.0000 -2.9542
1770997178.8379 0.000 0.000 0.0000 -2.9542
1770997178.8424 0.000 0.000 0.0000 -2.9542
1770997178.8482 0.000 0.000 0.0000 -2.9542
1770997178.8526 0.000 0.000 0.0000 -2.9542
1770997178.8580 0.000 0.000 0.0000 -2.9542
1770997178.8631 0.000 0.000 0.0000 -2.9542
1770997178.8684 0.000 0.000 0.0000 -2.9542
1770997178.8734 0.000 0.000 0.0000 -2.9542
1770997178.8775 0.000 0.000 0.0000 -2.9542
1770997178.8826 0.000 0.000 0.0000 -2.9542
1770997178.8882 0.000 0.000 0.0000 -2.9542
1770997178.8927 0.000 0.000 0.0000 -2.9542
1770997178.8983 0.000 0.000 0.0000 -2.9542
1770997178.9031 0.000 0.000 0.0000 -2.9542
1770997178.9082 0.000 0.000 0.0000 -2.9542
1770997178.9132 0.000 0.000 0.0000 -2.9542
1770997178.9177 0.000 0.000 0.0000 -2.9542
1770997178.9232 0.000 0.000 0.0000 -2.9542
1770997178.9274 0.000 0.000 0.0000 -2.9542
1770997178.9326 0.000 0.000 0.0000 -2.9542
1770997178.9374 0.000 0.000 0.0000 -2.9542
1770997178.9442 0.000 0.000 0.0000 -2.9542
1770997178.9482 0.000 0.000 0.0000 -2.9542
1770997178.9532 0.000 0.000 0.0000 -2.9542
1770997178.9579 0.000 0.000 0.0000 -2.9542
1770997178.9628 0.000 0.000 0.0000 -2.9542
1770997178.9678 0.000 0.000 0.0000 -2.9542
1770997178.9724 0.000 0.000 0.0000 -2.9542
1770997178.9784 0.000 0.000 0.0000 -2.9542
1770997178.9826 0.000 0.000 0.0000 -2.9542
1770997178.9878 0.000 0.000 0.0000 -2.9542
1770997178.9934 0.000 0.000 0.0000 -2.9542
1770997178.9983 0.000 0.000 0.0000 -2.9543
1770997179.0033 0.000 0.000 0.0000 -2.9542
1770997179.0082 0.000 0.000 0.0000 -2.9543
1770997179.0130 0.000 0.000 0.0000 -2.9543
1770997179.0182 0.000 0.000 0.0000 -2.9543
1770997179.0225 0.000 0.000 0.0000 -2.9542
1770997179.0283 0.000 0.000 0.0000 -2.9542
1770997179.0334 0.000 0.000 0.0000 -2.9542
1770997179.0380 0.000 0.000 0.0000 -2.9542
1770997179.0434 0.000 0.000 0.0000 -2.9543
1770997179.0475 0.000 0.000 0.0000 -2.9543
1770997179.0533 0.000 0.000 0.0012 -2.9543
1770997179.0581 0.000 0.000 0.0012 -2.9543
1770997179.0631 0.001 0.000 -0.0000 -2.9545
1770997179.0679 0.002 0.000 -0.0000 -2.9548
1770997179.0728 0.003 0.000 -0.0000 -2.9548
1770997179.0778 0.003 0.000 -0.0000 -2.9550
1770997179.0825 0.005 -0.000 -0.0000 -2.9548
1770997179.0882 0.006 -0.000 -0.0000 -2.9546
1770997179.0926 0.007 -0.000 -0.0012 -2.9544
1770997179.0976 0.008 -0.000 -0.0000 -2.9543
1770997179.1033 0.009 -0.000 -0.0012 -2.9541
1770997179.1080 0.010 -0.000 -0.0012 -2.9539
1770997179.1130 0.011 -0.000 -0.0012 -2.9538
1770997179.1178 0.012 -0.000 -0.0012 -2.9537
1770997179.1226 0.013 -0.000 -0.0012 -2.9535
1770997179.1284 0.013 -0.000 -0.0012 -2.9535
1770997179.1328 0.015 -0.000 -0.0023 -2.9536
1770997179.1383 0.015 -0.000 -0.0023 -2.9537
1770997179.1430 0.017 -0.000 -0.0023 -2.9538
1770997179.1481 0.018 -0.000 -0.0023 -2.9538
1770997179.1526 0.019 -0.000 -0.0023 -2.9540
1770997179.1576 0.020 -0.000 -0.0023 -2.9542
1770997179.1632 0.021 -0.000 -0.0023 -2.9544
1770997179.1679 0.022 -0.000 -0.0023 -2.9545
1770997179.1728 0.023 -0.000 -0.0023 -2.9546
1770997179.1778 0.024 -0.000 -0.0023 -2.9547
1770997179.1827 0.026 -0.000 -0.0023 -2.9547
